Destination,City,Country,Continent,Category,Rating,Interests,Best_Visit_Season,Budget_Range,Family_Friendly,Features,Latitude,Longitude,semantic_description,semantic_description_ar
Egyptian Museum,Cairo,Egypt,Africa,Cultural,4.3,"Museums, Antiquities, History",Oct-Apr,Mid,Yes,"mummies, artifacts",30.0444,31.2357,"The Egyptian Museum in Cairo houses extensive pharaonic collections, mummies and relics illustrating millennia of Egyptian civilization.",المتحف المصري في القاهرة يضم مجموعات فرعونية واسعة ومومياوات وقطع تبرز حضارة مصر لآلاف السنين.
Khan el-Khalili,Cairo,Egypt,Africa,Market,4.2,"Markets, Crafts, Shopping",Oct-Apr,Low,Yes,"souq, souvenirs",30.0478,31.2625,"Khan el-Khalili is Cairo's historic bazaar known for traditional crafts, jewelry stalls, cafes and a lively atmosphere.",خان الخليلي سوق القاهرة التاريخي المعروف بالحرف التقليدية ومحلات المجوهرات والمقاهي والأجواء الحيوية.
Karnak Temple,Luxor,Egypt,Africa,Archaeological,4.8,"Temples, History, Archaeology",Oct-Apr,Mid,Yes,"ancient temples, colonnades",25.7188,32.6573,"Karnak Temple complex in Luxor features massive temples, columns and reliefs dating to ancient Egyptian dynasties.",مجمع معبد الكرنك في الأقصر يضم معابد ضخمة وأعمدة ونقوش تعود لعصور الفراعنة.
Valley of the Kings,Luxor,Egypt,Africa,Archaeological,4.9,"Tombs, History, Exploration",Oct-Apr,Mid,Yes,"royal tombs, necropolis",25.7402,32.6014,"Valley of the Kings contains richly decorated royal tombs of pharaohs, offering insights into ancient burial practices and art.",وادي الملوك يضم مقابر ملكية مزخرفة توفر نظرة على طقوس الدفن والفن في مصر القديمة.
Abu Simbel Temples,Aswan,Egypt,Africa,Historical,4.7,"Monuments, Photography, History",Oct-Mar,Mid,Yes,"rock temples, ramses",24.0889,32.8998,"Abu Simbel features massive rock-cut temples built by Ramses II, a striking site near Lake Nasser notable for its scale.",أبو سمبل يضم معابد منحوتة في الصخر بناها رمسيس الثاني، موقع مدهش قرب بحيرة ناصر يتميز بضخامة نقوشه.
Philae Temple,Aswan,Egypt,Africa,Religious,4.5,"Temples, Culture, Sailing",Oct-Mar,Mid,Yes,"river temple, island",24.0231,32.8844,"Philae Temple on Agilkia Island is dedicated to Isis, accessible by boat with serene Nile views and ancient reliefs.",معبد فيلة على جزيرة أجليكا مكرس للإلهة إيزيس، يُزار بالقارب ويتميز بإطلالات نيلية هادئة ومنحوتات قديمة.
Corniche,Alexandria,Egypt,Africa,Beach,4.0,"Seaside, Views, Cafes",Mar-Nov,Mid,Yes,"promenade, sea views",31.2001,29.9187,"Alexandria Corniche is a scenic waterfront road with beaches, cafes and Mediterranean views blending history and leisure.",كورنيش الإسكندرية طريق ساحلي جميل يضم شواطئ ومقاهٍ وإطلالات على البحر الأبيض المتوسط تمزج التاريخ بالترفيه.
Hassan II Mosque,Casablanca,Morocco,Africa,Religious,4.6,"Architecture, Religious, Photography",Mar-May,High,Yes,"mosque, sea-view",33.6083,-7.6325,Hassan II Mosque in Casablanca is a monumental seaside mosque with intricate details and one of the largest prayer halls in the world.,مسجد الحسن الثاني في الدار البيضاء مسجد ضخم على البحر بتفاصيل معمارية دقيقة ويضم واحدًا من أكبر قاعات الصلاة في العالم.
Jemaa el-Fnaa,Marrakech,Morocco,Africa,Market,4.5,"Markets, Food, Entertainment",Oct-Apr,Low,Yes,"square, performers",31.6295,-7.9811,"Jemaa el-Fnaa is Marrakech's lively main square filled with food stalls, storytellers, musicians and traditional performances.",ساحة جامع الفنا في مراكش ساحة نابضة بالأكشاك والطهاة والحكاواتيين والموسيقيين والعروض التقليدية.
Majorelle Garden,Marrakech,Morocco,Africa,Nature,4.4,"Gardens, Photography, Relaxation",Oct-Apr,Mid,Yes,"botanical garden, museum",31.6358,-7.989,"Majorelle Garden is a lush botanical garden with vivid blue architecture, exotic plants and a calming atmosphere in Marrakech.",حديقة ماجوريل حديقة نباتية خضراء بهندسة زرقاء لافتة ونباتات غريبة وأجواء هادئة في مراكش.
Medina of Fes,Fes,Morocco,Africa,Historical,4.6,"History, Architecture, Crafts",Sep-Jun,Low,Yes,"old medina, UNESCO",34.0331,-5.0,"The Medina of Fes is a UNESCO-listed labyrinth of alleys, historic madrasas and traditional workshops showcasing Moroccan craftsmanship.",مدينة فاس القديمة مدرجة في اليونسكو متاهة من الأزقة ومدارس تاريخية وورش تعرض الحرف المغربية.
Essaouira Beach,Essaouira,Morocco,Africa,Beach,4.2,"Beach, Windsurfing, Fishing",Apr-Oct,Mid,Yes,"beach, fishing port",31.5085,-9.7599,"Essaouira is a coastal town with broad beaches, windsurfing, fishing port and a relaxed artistic vibe.",الصويرة مدينة ساحلية بشواطئ واسعة ورياضة ركوب الأمواج الشراعية وميناء صيد وجو فني هادئ.
Casbah of Algiers,Algiers,Algeria,Africa,Historical,4.1,"History, Architecture,Markets",Oct-May,Low,Yes,"citadel, old city",36.7525,3.04197,"The Casbah of Algiers is a historic Ottoman-era citadel with narrow streets, markets and sea views representing Algerian heritage.",قصبة الجزائر حصن تاريخي من العصر العثماني بأزقة وأسواق وإطلالات بحرية تمثل التراث الجزائري.
Petra,Wadi Musa,Jordan,Asia,Archaeological,4.9,"Archaeology, Hiking, History",Oct-Apr,Mid,Yes,"rock-cut tombs, unesco",30.3285,35.4444,"Petra is a UNESCO archaeological site famous for its rock-cut facades, narrow siq and ancient Nabatean city carved into sandstone.",البتراء موقع أثري لليونسكو مشهور بواجهاته المنحوتة في الصخر والسيق الضيق ومدينة الأنباط القديمة المنحوتة في الحجر الرملي.
Wadi Rum,Aqaba,Jordan,Asia,Nature,4.8,"Desert, Adventure, Camping",Oct-Apr,Low,Yes,"desert, rock formations",29.5329,35.42,"Wadi Rum is a dramatic desert valley with sandstone formations, ideal for jeep tours, camping and stargazing.",وادي رم وادي صحراوي رائع بتكوينات رملية وحجرية مثالي للجولات البرية والتخييم ومراقبة النجوم.
Dead Sea,Dead Sea,Jordan,Asia,Nature,4.3,"Relaxation, Wellness, Views",Oct-Apr,Mid,Yes,"floating, spa",31.559,35.4732,"The Dead Sea offers unique salty waters for floating, healing mud treatments and dramatic low-elevation views.",البحر الميت يوفر مياه مالحة فريدة للطفو وعلاجات طينية ومشاهد درامية لأسفل مستوى سطح البحر.
Jerash Ruins,Jerash,Jordan,Asia,Archaeological,4.5,"Ruins, History, Walking",Mar-May,Low,Yes,"roman ruins, colonnade",32.2806,35.8908,"Jerash features well-preserved Roman ruins, colonnaded streets and theaters reflecting the city's ancient Greco-Roman past.",جرش تضم آثارًا رومانية محفوظة جيدًا بشوارع مسقوفة ومدرجات تعكس ماضيها اليوناني-الروماني.
Amman Citadel,Amman,Jordan,Asia,Historical,4.2,"History, Views, Museums",Mar-May,Low,Yes,"citadel, ruins",31.9516,35.9239,"Amman Citadel is a historic fortified hill with archaeological remains, panoramic city views and a small archaeological museum.",جبل القلعة في عمّان تلة محصنة تاريخياً بها بقايا أثرية وإطلالات بانورامية ومتحف أثري صغير.
Madaba Mosaics,Madaba,Jordan,Asia,Cultural,4.1,"Mosaics, History, Churches",Mar-May,Low,Yes,"mosaic maps, churches",31.7167,35.7936,"Madaba is famed for Byzantine mosaics, especially the ancient mosaic map of the Holy Land and historic churches.",مدبّا مشهورة بفسيفسائها البيزنطية وخصوصاً خريطة الفسيفساء القديمة للأرض المقدسة والكنائس التاريخية.
Great Mosque of Kairouan,Kairouan,Tunisia,Africa,Religious,4.6,"Religious, History, Architecture",Oct-May,Low,Yes,"mosque, unesco",35.6781,10.1014,"The Great Mosque of Kairouan is one of Islam's earliest mosques, a pilgrimage site noted for its historic architecture.",الجامع الكبير في القيروان واحد من أقدم المساجد الإسلامية وموقع حج مشهور لهندسته التاريخية.
Sidi Bou Said,Tunis,Tunisia,Africa,Scenic,4.4,"Views, Photography, Culture",Mar-Jun,Mid,Yes,"blue-white village, cafes",36.8696,10.3415,"Sidi Bou Said is a picturesque cliff-top village with blue-and-white houses, panoramic sea views and artistic cafés.",سيدي بوسعيد قرية ساحرة على جرف بمنازل زرقاء وبيضاء وإطلالات بحرية ومقاهٍ فنية.
Carthage Ruins,Tunis,Tunisia,Africa,Archaeological,4.3,"Ruins, History, Archaeology",Mar-May,Mid,Yes,"punic ruins, museum",36.8529,10.3239,"Carthage offers Punic and Roman ruins, archaeological sites and museums tracing ancient Mediterranean civilizations.",قرطاج تقدم آثاراً فونيقية ورومانية ومواقع أثرية ومتاحف تروي حضارات البحر المتوسط القديمة.
El Djem Amphitheatre,El Djem,Tunisia,Africa,Historical,4.5,"Roman, Architecture, Events",Mar-May,Mid,Yes,"colosseum, performances",35.2983,10.7063,El Djem's Roman amphitheatre is an impressive colosseum hosting concerts and revealing Tunisia's Roman heritage.,مدرج الجم الروماني مدرج ضخم يستضيف حفلات ويكشف عن التراث الروماني في تونس.
Djerba Beaches,Djerba,Tunisia,Africa,Beach,4.2,"Beach, Relaxation, Water Sports",Apr-Oct,Mid,Yes,"beaches, resorts",33.807,10.8456,"Djerba is an island famous for sandy beaches, resorts, fishing villages and water activities ideal for relaxation.",جربة جزيرة مشهورة بشواطئ رملية ومنتجعات وقُرى صيد وأنشطة مائية مثالية للاسترخاء.
Giza Pyramids (duplicate placeholder),Giza,Egypt,Africa,Historical,4.9,"Archaeology, History",Oct-Apr,Mid,Yes,ancient monuments,29.9792,31.1342,(placeholder),(placeholder)
Marsa Matruh,Alexandria,Egypt,Africa,Beach,4.1,"Beach, Swimming, Relaxation",May-Sep,Mid,Yes,"beaches, clear water",31.3543,29.2359,"Marsa Matruh offers golden beaches and clear waters on Egypt's Mediterranean coast, popular in summer for swimming and relaxation.",مرسى مطروح تقدم شواطئ ذهبية ومياه صافية على الساحل المتوسطي في مصر، مشهورة صيفاً للسباحة والاسترخاء.
Luxor Temple,Luxor,Egypt,Africa,Historical,4.7,"Temples, Night Visit, History",Oct-Apr,Mid,Yes,"temple, illuminated",25.7,32.6396,Luxor Temple is an illuminated ancient temple complex at night with impressive columns and historical ceremonies.,معبد الأقصر مجمع معبد مضاء ليلاً بأعمدة مهيبة وطقوس تاريخية.
Salah El-Din Citadel,Cairo,Egypt,Africa,Historical,4.3,"History, Fortifications, Views",Oct-Apr,Mid,Yes,"citadel, museums",30.0299,31.259,The Citadel of Salah El-Din in Cairo is a historic fortress offering museums and panoramic views over the city.,قلعة صلاح الدين في القاهرة حصن تاريخي يضم متاحف ويوفر إطلالات بانورامية على المدينة.
Aswan Botanical Gardens,Aswan,Egypt,Africa,Nature,4.1,"Gardens, Relaxation, Flora",Oct-Mar,Low,Yes,"botanical garden, island",24.089,32.8848,Aswan Botanical Gardens on Kitchener's Island feature lush plant collections and shaded walkways on the Nile.,حدائق أسوان النباتية على جزيرة كيتشنر تضم مجموعات نباتية ومسارات مظللة على النيل.
Moroccan Sahara Erg,Casablanca,Morocco,Africa,Adventure,4.4,"Desert, Camping, 4x4",Sep-Apr,Mid,Yes,"desert tours, dunes",33.5731,-7.5898,"Desert excursions from Morocco offer dunes, camel rides and overnight camps under the stars for adventurous travelers.",رحلات الصحراء بالمغرب توفر رمال وكثبان وركوب جمال ومخيمات ليلية تحت النجوم للمسافرين المغامرين.
Rabat Kasbah,Rabat,Morocco,Africa,Historical,4.0,"History, Architecture, Views",Mar-May,Low,Yes,"kasbah, fort",34.0209,-6.8417,"Rabat's Kasbah of the Udayas is a historic fortress offering narrow alleys, gardens and Atlantic views.",قصبة الأوداية في الرباط حصن تاريخي به أزقة ضيقة وحدائق وإطلالات على الأطلسي.
Fes Tannery,Fes,Morocco,Africa,Cultural,4.2,"Crafts, Workshops, Photography",Sep-Jun,Low,Yes,"tannery, crafts",34.0611,-4.9998,The tanneries of Fes are traditional leather workshops with colorful dye pits and a glimpse into artisan production.,مدابغ فاس ورش جلدية تقليدية بحفر صبغ ملونة ونظرة على الإنتاج الحرفي.
Chefchaouen Blue Streets,Chefchaouen,Morocco,Africa,Scenic,4.6,"Photography, Culture, Relaxation",Mar-May,Mid,Yes,"blue alleys, mountain views",35.1683,-5.2697,"Chefchaouen is famous for its blue-painted streets, mountain backdrop and relaxed cultural atmosphere ideal for photography.",الشفشاون مشهورة بشوارعها الزرقاء وخلفية جبلية وجو ثقافي هادئ مناسب للتصوير.
Meknes Heritage,Meknes,Morocco,Africa,Historical,4.1,"History, Palaces, Gardens",Mar-May,Low,Yes,"historic gates, medina",33.8935,-5.5476,"Meknes offers imperial gates, historic palaces and gardens reflecting Morocco's royal past.",مكناس تقدم بوابات إمبراطورية وقصور تاريخية وحدائق تعكس الماضي الملكي للمغرب.
Hiking in Atlas Mountains,Marrakech,Morocco,Africa,Nature,4.5,"Hiking, Scenery, Villages",Mar-May,Low,Yes,"mountain trails, villages",31.7917,-7.0926,"Atlas mountain hikes near Marrakech offer scenic trails, Berber villages and cool mountain air for outdoor enthusiasts.",رحلات المشي بجبال الأطلس قرب مراكش توفر مسارات مناظر خلابة وقُرى أمازيغية وجو جبلي معتدل لعشاق الطبيعة.
Petra Monastery (Ad Deir),Wadi Musa,Jordan,Asia,Archaeological,4.8,"Hiking, Archaeology, Views",Oct-Apr,Mid,Yes,"monastery, rock-carved",30.3336,35.4443,The Monastery (Ad Deir) in Petra is a large rock-cut monument reached by a scenic hike offering spectacular views.,دير البتراء (الاد دير) منحوتة صخرية كبيرة تُبلَغ عبر مسار مشي يوفر إطلالات رائعة.
Aqaba Coral Reefs,Aqaba,Jordan,Asia,Nature,4.5,"Diving, Snorkeling, Marine Life",Mar-Nov,Mid,Yes,"coral reefs, diving",29.5316,35.0058,Aqaba's coral reefs on the Red Sea offer excellent diving and snorkeling with colorful marine life and clear waters.,شعاب العقبة المرجانية في البحر الأحمر توفر غوصاً وغطساً ممتازاً بحياة بحرية ملونة ومياه صافية.
Mount Nebo,Madaba,Jordan,Asia,Scenic,4.2,"Views, Pilgrimage, History",Mar-May,Low,Yes,"viewpoint, pilgrimage",31.7683,35.726,Mount Nebo offers panoramic views over the Jordan Rift Valley and is a historic pilgrimage site with biblical associations.,جبل نيبو يوفر إطلالات بانورامية على وادي الأردن وموقع حج تاريخي مرتبط بقصص الكتاب المقدس.
Aqaba Beach,Aqaba,Jordan,Asia,Beach,4.1,"Beach, Swimming, Relaxation",Apr-Oct,Mid,Yes,"beach, resorts",29.532,34.9,"Aqaba's beaches provide warm Red Sea waters, resort amenities and family-friendly water activities.",شواطئ العقبة توفر مياهاً دافئة وخدمات منتجعات وأنشطة مائية مناسبة للعائلات.
Roman Theater,Amman,Jordan,Asia,Historical,4.0,"History, Architecture, Performances",Mar-May,Low,Yes,"theater, ruins",31.9539,35.9106,Amman's Roman Theater is a restored ancient amphitheater hosting performances and offering city views from its seating tiers.,المسرح الروماني في عمّان مسرح قديم مُرمم يحتضن عروضاً ويوفر إطلالات على المدينة من المدرجات.
Sidi Bou Said (alternate),Tunis,Tunisia,Africa,Scenic,4.4,"Views, Culture, Cafes",Mar-Jun,Mid,Yes,"cliff village, galleries",36.8696,10.3415,"Sidi Bou Said is a scenic village with distinctive blue-and-white architecture, artisan shops and panoramic sea views.",سيدي بوسعيد قرية خلابة بمعمار أزرق-أبيض ومتاجر حرفية وإطلالات بحرية بانورامية.
Bardo Museum,Tunis,Tunisia,Africa,Cultural,4.5,"Museums, Antiquities, Art",Oct-May,Mid,Yes,"mosaics, collections",36.8115,10.124,Bardo Museum hosts one of the world's finest collections of Roman mosaics and archaeological exhibits spanning Tunisian history.,متحف باردو يضم واحدة من أجود مجموعات الفسيفساء الرومانية ومعروضات أثرية تغطي تاريخ تونس.
Sousse Medina,Sousse,Tunisia,Africa,Historical,4.1,"History, Markets, Architecture",Mar-May,Low,Yes,"medina, ramparts",35.8256,10.6408,"Sousse Medina features historic ramparts, narrow streets and markets reflecting Tunisia's coastal heritage.",مدينة سوسة القديمة تضم أسواراً تاريخية وأزقة وأسواق تعكس التراث الساحلي للتونس.
El Jem Amphitheatre (duplicate),El Djem,Tunisia,Africa,Historical,4.5,"Roman, Architecture",Mar-May,Mid,Yes,"amphitheatre, events",35.2983,10.7063,El Jem Amphitheatre is a large Roman colosseum known for concerts and preserved architecture.,مدرج الجم روماني ضخم مشهور بالحفلات والهندسة المعمارية المحفوظة.
Carthage Archaeological Park,Tunis,Tunisia,Africa,Archaeological,4.3,"Ruins, History, Museums",Mar-May,Mid,Yes,"punic ruins, museum",36.8529,10.3239,Carthage Archaeological Park contains Punic and Roman remains with museums displaying artifacts from ancient Mediterranean civilizations.,حديقة آثار قرطاج تضم بقايا فونيقية ورومانية مع متاحف تعرض قطعاً من حضارات البحر المتوسط القديمة.
